Fiscal_Year,Scope,Best_Model,Forecast_Billions,Lower_95_CI_Billions,Upper_95_CI_Billions,Forecast_USD,Lower_95_CI_USD,Upper_95_CI_USD
2026,New York,Linear Regression,87.61,61.27,113.95,87608037058.83887,61266160035.22948,113949914082.44826
2027,New York,Linear Regression,90.05,62.06,118.03,90048207015.05566,62062914095.70028,118033499934.41104
2028,New York,Linear Regression,92.49,62.79,122.18,92488376971.27246,62792301912.86331,122184452029.68161
2029,New York,Linear Regression,94.93,63.47,126.39,94928546927.48926,63465310485.498695,126391783369.47983
2030,New York,Linear Regression,97.37,64.09,130.65,97368716883.70508,64090920376.54552,130646513390.86464
2031,New York,Linear Regression,99.81,64.68,134.94,99808886839.92188,64676475126.85235,134941298552.9914
2032,New York,Linear Regression,102.25,65.23,139.27,102249056796.13867,65227994080.18312,139270119512.09424
2033,New York,Linear Regression,104.69,65.75,143.63,104689226752.35547,65750429443.01129,143628024061.69965
2034,New York,Linear Regression,107.13,66.25,148.01,107129396708.57227,66247873906.51597,148010919510.62857
2035,New York,Linear Regression,109.57,66.72,152.42,109569566664.78906,66723726764.405556,152415406565.17258
